1 Del a, 1 Del
1 Del b, 1 Del
1342 cyg,        V1342 Cyg
1972 Cyg,        V1972 Cyg
199579,  HD 199579
68 u Her,        68 Her
92922,   HIP 92922
BD284211,        BD+284211
o Cas,   omi Cas
BRCMi,   BR CMi
BU 28 Tau,       28 Tau
BWBoo,   BW Boo
BetaLyr, Bet Lyr
DNUMa,   DN UMa
DRVul,   DR Vul
DeltaOri,        Del Ori
Draobject, CX Dra        CX Dra
EUVE0702+129,    EUVEnon
EUVEJ0702+129,   EUVEnon
GALEX 1736+2806, GALEX
GALEX J0321+4727,        GALEX
GALEX J2349+3844,        GALEX
GALEX0321+4727,  GALEX
GALEX0639+5156,  GALEX
GALEX0805-1058,  GALEX
GALEX1017+5516,  GALEX
GALEX1632+8513,  GALEX
GALEX1702+6353,  GALEX
GALEX1717+6757,  GALEX
GALEX1736+2806,  GALEX
GALEX1911+8716,  GALEX
GALEX2349 ,      GALEX
GALEX2349+3844,  GALEX
GALEXJ0321+4727, GALEX
GALEXJ0737+3714, GALEX
GALEXJ2349+3844, GALEX
GamCas,  Gam Cas
GammaCas,        Gam Cas
HR 1847A,        HR 1847
HR 1847A+B,      HR 1847
HR 1847B,        HR 1847
HR 1847B(+A),    HR 1847
HR 1847a,        HR 1847
HR1847A, HR 1847
HR1847A+B,       HR 1847
HR1847B, HR 1847
IRAS 17+23,      IRASnon
N Vul 07,        N Vul 2007
RRLyn,   RR Lyn
NGC 6910, Webda 37       NGC 6910 37
NGC 6910, Wedba 5        NGC 6910 5
NGC1502, Webda 7 NGC 1502 7
NGC6910, WEBDA 16        NGC 6910 16
NGC6910, WEBDA 41        NGC 6910 41
NGC6910, WEBDA37 NGC 6910 37
TW Dra B,        TW Dra
V2028,   V2028 Cyg
VVCrv,   VV Crv
alphaBoo,        Alp Boo
alphaCas,        Alp Cas
alphacas,        Alp Cas
altair-pokus,    Altair
bet Mon B+C?,    Bet Mon
delOri,  Del Ori
epsAur,  Eps Aur
epsilonAur,      Eps Aur
gamCas,  Gam Cas
gama Cas,        Gam Cas
k Dra,   Kap Dra
ksiTau, Ksi Tau
omiCas,  Omi Cas
szcam,   SZ Cam
ups Sqr, ups Sgr
zetoph,  Zet Oph
