,correct_name,dec,dir_name,file_name,fits_dec,fits_ra,group,object,ra,wrong_name
0, ,20.8336111111,96her,rh060012.fits,+20:50:01.00,18:02:23.047,8, ,270.596029167,
1, ,-15.9549166667,upssgr,th280012.fits,-15:57:17.70,19:21:43.607,8, ,290.431695833,
2, ,21.1425277778,zettau,re060015.fits,+21:08:33.10,05:37:38.687,8, ,84.4111958333,
3, ,21.1425277778,zettau,re060016.fits,+21:08:33.10,05:37:38.687,8, ,84.4111958333,
4, 60 Cyg,46.2001111111,60cyg,od180008.fits,46:12:00.4,21:00:11.3,8, 60 Cyg,315.047083333,
5, KS CMa,-12.6679166667,kscma,uj170050.fits,-12:40:04.50,06:49:15.867,8, KS CMa,102.3161125,
6, V2368 Oph,2.17513888889,v2368oph,qg260012.fits,2:10:30.5,17:16:21.6,8, V2368 Oph,259.09,
7, delta Cep,58.4151944444,delcep,rj040012.fits,+58:24:54.70,22:29:10.267,5, delta Cep,337.292779167,
8, eps Aur,43.8233055556,epsaur,tl130016.fits,+43:49:23.90,05:01:58.127,8, eps Aur,75.4921958333,
9,1 Del,10.9088055556,1del,qi160026.fits,10:54:31.7,20:30:21.7,3,1 Del,307.590416667,
10,1 Del,10.8959166667,1del,ri110028.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,
11,1 Del,10.8959166667,1del,ri110029.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,
12,1 Del,10.8959166667,1del,ri110030.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,
13,1 Del,10.8959166667,1del,ri110032.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,
14,1 Del,10.8959166667,1del,sg050023.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,
15,1 Del,10.8959166667,1del,si210014.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,
16,1 Del,10.8959166667,1del,sj090036.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,
17,1 Del,10.8959166667,1del,tg160054.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,
18, 1 Del,10.9081388889,1del,qi160024.fits,10:54:29.3,20:30:21.1,3,1 Del a,307.587916667,1 Del a
19, 1 Del,10.9067777778,1del,qi160023.fits,10:54:24.4,20:30:20.5,3,1 Del b,307.585416667,1 Del b
20,10 Cas,64.2048611111,10cas,mj180022.fits,64:12:17.5,0:06:53.8,8,10 Cas,1.72416666667,
21,10 Cas,64.1961666667,10cas,ti040049.fits,+64:11:46.20,00:06:26.540,8,10 Cas,1.61058333333,
22,105 Tau,21.7048055556,105tau,tj300033.fits,+21:42:17.30,05:07:55.440,9,105 Tau,76.981,
23,11 Cam,58.9628333333,11cam,la040034.fits,58:57:46.2,5:06:33.1,8,11 Cam,76.6379166667,
24,11 Cam,59.0216111111,11cam,lb160035.fits,59:01:17.8,5:06:44.0,8,11 Cam,76.6833333333,
25,11 Cam,58.9723611111,11cam,tj250004.fits,+58:58:20.50,05:06:08.447,8,11 Cam,76.5351958333,
26,11 Cyg,36.9445277778,11cyg,ti050007.fits,+36:56:40.30,19:35:48.300,3,11 Cyg,293.95125,
27,11 Cyg,36.9445277778,11cyg,ui240027.fits,+36:56:40.30,19:35:48.300,3,11 Cyg,293.95125,
28,11 UMi,71.8238888889,11umi,sd180016.fits,+71:49:26.00,15:17:05.900,0,11 UMi,229.274583333,
29,116 Tau,15.86375,116tau,qi160037.fits,15:51:49.5,5:27:49.1,5,116 Tau,81.9545833333,
30,116 Tau,15.8677222222,116tau,rb250031.fits,15:52:03.80,05:27:41.960,5,116 Tau,81.9248333333,
31,116 Tau,15.8740277778,116tau,sh240037.fits,+15:52:26.50,05:27:45.607,5,116 Tau,81.9400291667,
32,116 Tau,15.8740277778,116tau,sh300036.fits,+15:52:26.50,05:27:45.607,5,116 Tau,81.9400291667,
33,116 Tau,15.8740277778,116tau,sj020028.fits,+15:52:26.50,05:27:45.607,5,116 Tau,81.9400291667,
34,116 Tau,15.8740277778,116tau,ub240012.fits,+15:52:26.50,05:27:45.607,5,116 Tau,81.9400291667,
35,116 Tau,15.8740277778,116tau,uj220033.fits,+15:52:26.50,05:27:45.607,5,116 Tau,81.9400291667,
36,116 Tau,15.8740277778,116tau,va260020.fits,+15:52:26.50,05:27:45.607,5,116 Tau,81.9400291667,
37,12 Aur,46.4160555556,12aur,ue110027.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,
38,12 Aur,46.4160555556,12aur,uj160054.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,
39,12 Aur,46.4160555556,12aur,uk280026.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,
40,12 Aur,46.4160555556,12aur,ul090039.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,
41,12 Aur,46.4160555556,12aur,ul110013.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,
42,12 Aur,46.4160555556,12aur,ul140009.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,
43,12 Aur,46.4160555556,12aur,va290017.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,
44,12 Aur,46.4160555556,12aur,vc050037.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,
45,12 Aur,46.4160555556,12aur,vc090061.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,
46,12 Aur,46.4160555556,12aur,vc150049.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,
47,12 Aur,46.4160555556,12aur,vd120016.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,
48,12 Vul,22.6100277778,12vul,tg050012.fits,+22:36:36.10,19:51:04.107,9,12 Vul,297.7671125,
49,120 Tau,18.5402222222,120tau,tj250023.fits,+18:32:24.80,05:33:31.627,9,120 Tau,83.3817791667,
50,13 Tau,19.7113611111,13tau,mi170053.fits,19:42:40.9,3:42:09.1,8,13 Tau,55.5379166667,
51,13 Tau,19.7113055556,13tau,mi170054.fits,19:42:40.7,3:42:09.1,8,13 Tau,55.5379166667,
52,13 Tau,19.7352222222,13tau,na220019.fits,19:44:06.8,3:42:06.8,8,13 Tau,55.5283333333,
53,13 Tau,19.70025,13tau,ti040069.fits,+19:42:00.90,03:42:18.947,8,13 Tau,55.5789458333,
54,        V1342 Cyg,36.4421944444,v1362cyg,pg120017.fits,36:26:31.9,20:03:55.0,8,1342 cyg,300.979166667,1342 cyg
55,14 Lac,41.9533888889,v360lac,tg140036.fits,+41:57:12.20,22:50:21.767,8,14 Lac,342.590695833,
56,14 Lac,41.9533888889,v360lac,tg140039.fits,+41:57:12.20,22:50:21.767,8,14 Lac,342.590695833,
57,14 Lac,41.9533888889,v360lac,ue110069.fits,+41:57:12.20,22:50:21.780,8,14 Lac,342.59075,
58,14 Lac,41.9533888889,v360lac,ug060050.fits,+41:57:12.20,22:50:21.780,8,14 Lac,342.59075,
59,15 Mon,9.78016666667,15mon,md140016.fits,9:46:48.6,6:45:30.0,0,15 Mon,101.375,
60,17 Lep,-16.4844166667,17lep,uc280007.fits,-16:29:03.90,06:04:59.127,9,17 Lep,91.2463625,
61,17 Sex,-8.40816666667,17sex,ua280060.fits,-08:24:29.40,10:10:07.540,0,17 Sex,152.531416667,
