,Unnamed: 0,correct_name,dec,dir_name,file_name,fits_dec,fits_ra,group,object,ra,wrong_name,B,CAT-DEC,CAT-RA,H,I,J,K,R,U,V,g,hd_name,i,name,r,u,z
0,9,1 Del,10.9088055556,1del,qi160026.fits,10:54:31.7,20:30:21.7,3,1 Del,307.590416667,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
1,9,1 Del,10.9088055556,1del,qi160026.fits,10:54:31.7,20:30:21.7,3,1 Del,307.590416667,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
2,10,1 Del,10.8959166667,1del,ri110028.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
3,10,1 Del,10.8959166667,1del,ri110028.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
4,11,1 Del,10.8959166667,1del,ri110029.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
5,11,1 Del,10.8959166667,1del,ri110029.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
6,12,1 Del,10.8959166667,1del,ri110030.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
7,12,1 Del,10.8959166667,1del,ri110030.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
8,13,1 Del,10.8959166667,1del,ri110032.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
9,13,1 Del,10.8959166667,1del,ri110032.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
10,14,1 Del,10.8959166667,1del,sg050023.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
11,14,1 Del,10.8959166667,1del,sg050023.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
12,15,1 Del,10.8959166667,1del,si210014.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
13,15,1 Del,10.8959166667,1del,si210014.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
14,16,1 Del,10.8959166667,1del,sj090036.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
15,16,1 Del,10.8959166667,1del,sj090036.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
16,17,1 Del,10.8959166667,1del,tg160054.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
