,correct_name,dec,dir_name,file_name,fits_dec,fits_ra,group,object,ra
0,11 UMi,71.8238888889,11umi,sd180016.fits,+71:49:26.00,15:17:05.900,0,11 UMi,229.274583333
1,15 Mon,9.78016666667,15mon,md140016.fits,9:46:48.6,6:45:30.0,0,15 Mon,101.375
2,OQ Peg,25.9251388889,16peg,tg060031.fits,+25:55:30.50,21:53:03.767,0,OQ Peg,328.265695833
3,17 Sex,-8.40816666667,17sex,ua280060.fits,-08:24:29.40,10:10:07.540,0,17 Sex,152.531416667
4,19 Cep,62.2798055556,19cep,vb080024.fits,+62:16:47.30,22:05:08.787,0,19 Cep,331.2866125
5,28 Vul,24.1159444444,28vul,ui230026.fits,+24:06:57.40,20:38:31.907,0,28 Vul,309.632945833
6,3 Dra,66.7448888889,3dra,sd180014.fits,+66:44:41.60,11:42:28.400,0,3 Dra,175.618333333
7,68 Cyg,43.9459444444,68cyg,tg180042.fits,+43:56:45.40,21:18:27.187,0,68 Cyg,319.613279167
8,9 UMa,48.0161666667,9uma,oc240024.fits,48:00:58.2,8:59:45.4,0,9 UMa,134.939166667
9,alpha CMi,5.22497222222,alpcmi,tb030063.fits,+05:13:29.90,07:39:18.120,0,alpha CMi,114.8255
10,alpha CMi,5.22497222222,alpcmi,tb030064.fits,+05:13:29.90,07:39:18.120,0,alpha CMi,114.8255
11,alp Ori,7.40705555556,alpori,uh300054.fits,+07:24:25.40,05:55:10.300,0,alp Ori,88.7929166667
12,alpha Per,49.8611666667,alpper,uh310025.fits,+49:51:40.20,03:24:19.367,0,alpha Per,51.0806958333
13,BD+421552,41.9612222222,bd421552,la030011.fits,41:57:40.4,6:26:20.8,0,BD+421552,96.5866666667
14,BD+421552,41.9525,bd421552,la030013.fits,41:57:09.0,6:26:22.2,0,BD+421552,96.5925
15,bet and,35.6205555556,betand,th080015.fits,+35:37:14.00,01:09:43.920,0,bet and,17.433
16,beta Cas,59.2449444444,betcas,pf130016.fits,59:14:41.8,0:08:11.2,0,beta Cas,2.04666666667
17,beta Cas,59.2446388889,betcas,pf130017.fits,59:14:40.7,0:08:11.1,0,beta Cas,2.04625
18,beta Cas,59.2438055556,betcas,pf130018.fits,59:14:37.7,0:08:10.9,0,beta Cas,2.04541666667
19,theta1 Ori C,-5.38533333333,bmori,rj200030.fits,-05:23:07.20,05:35:16.067,0,theta1 Ori C,83.8169458333
20,HD133029,47.2774166667,bxboo,va310038.fits,+47:16:38.70,15:00:38.720,0,HD133029,225.161333333
21,chi Psc,21.0897222222,chipsc,pi300025.fits,21:05:23.0,1:11:31.2,0,chi Psc,17.88
