,B,CAT-DEC,CAT-RA,H,I,J,K,R,U,V,g,hd_name,i,name,r,u,z
0,5.217,46.15577267,315.29553503,5.952,,5.860,5.993,,4.23,5.417,,HD 200310,, 60 Cyg,,,
1,7.33,-12.66792213,102.31612126,6.287,,6.528,6.104,,,7.26,,HD 49699,, KS CMa,,,
2,6.381,2.18620241,259.05941952,5.522,,5.552,5.494,,,6.187,,HD 156208,, V2368 Oph,,,
3,4.81,58.4151983,337.29277091,2.608,3.219,2.865,2.354,,,4.07,,HD 213306,, delta Cep,,,
4,3.527,43.8233072,75.49221855,1.702,,1.880,1.533,,3.86,3.039,,HD 31964,, eps Aur,,,
5,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
6,,,,,,,,,,,,,,1 Del a,,,
7,,,,,,,,,,,,,,1 Del b,,,
8,5.541,64.1961689,1.61058678,5.470,,5.463,5.468,,5.37,5.567,,HD 144,,10 Cas,,,
9,6.08,21.70482363,76.9809852,4.961,,5.197,4.775,,5.51,5.92,,HD 32991,,105 Tau,,,
10,5.00,58.97237189,76.53521493,5.021,,5.424,4.906,,4.31,5.03,,HD 32343,,11 Cam,,,
11,5.949,36.94454052,293.95126733,6.163,,6.072,6.143,,5.42,6.028,,HD 185037,,11 Cyg,,,
12,6.415,71.82390183,229.27453745,2.091,,2.876,1.939,,,5.024,,HD 136726,,11 UMi,,,
13,5.525,15.8740504,81.94003683,5.378,,5.322,5.328,,,5.512,,HD 35770,,116 Tau,,,
14,7.06,46.41606417,79.11284708,6.120,,6.206,5.915,,6.39,6.95,,HD 33988,,12 Aur,,,
15,4.750,22.61004811,297.76711756,5.051,,5.388,4.947,,4.13,4.893,,HD 187811,,12 Vul,,,
16,5.642,18.54023076,83.38179818,5.065,,5.160,4.777,,4.94,5.667,,HD 36576,,120 Tau,,,
17,5.664,19.70025573,55.57894623,5.649,,5.635,5.641,,5.22,5.681,,HD 23016,,13 Tau,,,
18,,,,,,,,,,,,,,1342 cyg,,,
19,5.981,41.95339391,342.59072768,5.428,,5.479,5.321,,5.49,5.928,,HD 216200,,14 Lac,,,
20,4.400,9.89575637,100.24441512,5.322,4.88,5.202,5.340,,3.360,4.640,,HD 47839,,15 Mon,,,
21,5.148,-16.48443612,91.2463712,2.105,,2.904,1.671,,,4.974,,HD 41511,,17 Lep,,,
22,5.916,-8.40816541,152.53141493,5.745,,5.723,5.696,,,5.900,,HD 88195,,17 Sex,,,
23,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
24,5.24,50.47173272,354.78471705,5.410,,5.369,5.402,,,5.35,,HD 222304,,18 And,,,
25,5.19,62.27981393,331.2866248,,,,,,4.35,5.11,,HD 209975,,19 Cep,,,
26,,,,,,,,,,,,,,1972 Cyg,,,
27,,,,,,,,,,,,,,199579,,,
28,3.663,9.73267621,51.79229464,3.738,,3.622,3.779,,,3.727,,HD 21364,,2 Tau,,,
29,5.797,26.47880657,303.00292203,6.054,,5.967,5.998,,5.38,5.903,,HD 192044,,20 Vul,,,
30,4.666,35.24469347,151.85734566,4.046,,4.269,4.004,,,4.488,,HD 87696,,21 LMi,,,
31,,,,,,,,,,,,,,224014,,,
32,5.392,-13.04836762,67.27885559,5.939,,5.870,5.798,,4.48,5.590,,HD 28497,,228 Eri,,,
33,4.113,23.9483559,56.58155768,4.31,4.16,4.233,4.220,,3.70,4.164,,HD 23480,,23 Tau,,,
34,5.009,37.04288592,299.97998237,5.484,,5.413,5.486,,4.33,5.139,,HD 189687,,25 Cyg,,,
35,4.701,1.84644553,81.18677766,5.417,,5.369,5.355,,3.83,4.873,,HD 35439,,25 Ori,,,
36,5.707,21.70292552,331.95959987,5.984,,5.876,5.978,,5.27,5.783,,HD 210129,,25 Peg,,,
37,2.806,24.10513565,56.87115231,2.735,2.88,2.735,2.636,,2.44,2.873,,HD 23630,,25 Tau,,,
38,5.431,24.44609927,305.51429342,5.636,,5.557,5.587,,4.94,5.519,,HD 193911,,25 Vul,,,
39,3.54,24.05341675,57.2905941,3.864,3.65,3.800,3.879,,3.17,3.62,,HD 23850,,27 Tau,,,
40,5.539,26.46194687,309.2694689,5.720,,5.636,5.712,,,5.589,,HD 196504,,27 Vul,,,
41,5.539,26.46194687,309.2694689,5.720,,5.636,5.712,,,5.589,,HD 196504,,27Vul,,,
42,5.539,26.46194687,309.2694689,5.720,,5.636,5.712,,,5.589,,HD 196504,,27vul,,,
43,4.793,36.83962215,302.35674659,5.155,,5.071,5.038,,4.03,4.929,,HD 191610,,28 Cyg,,,
44,4.967,24.13671084,57.29673229,5.067,5.08,5.087,4.937,,4.73,5.048,,HD 23862,,28 Tau,,,
45,4.917,24.11595814,309.63297565,5.394,,5.287,5.401,,4.35,5.047,,HD 196740,,28 Vul,,,
46,4.967,24.13671084,57.29673229,5.067,5.08,5.087,4.937,,4.73,5.048,,HD 23862,,28 tau,,,
47,4.967,24.13671084,57.29673229,5.067,5.08,5.087,4.937,,4.73,5.048,,HD 23862,,28Tau,,,
48,6.600,66.74490559,175.61817201,2.524,,3.143,2.314,,,5.321,,HD 101673,,3 Dra,,,
49,4.72,12.20518412,335.37947961,4.803,,4.818,4.685,,4.07,4.81,,HD 212076,,31 Peg,,,
50,4.964,2.06003779,281.20807583,5.057,,5.012,5.038,,,5.014,,HD 173370,,4 Aql,,,
51,5.64,42.56619261,238.87746735,5.887,,5.821,5.850,,5.23,5.74,,HD 142926,,4 Her,,,
52,4.867,-14.27935817,239.54736956,4.829,,5.098,4.591,,4.58,4.943,,HD 142983,,48 Lib,,,
