survey,programname,objects
sdss,apbias,1920
sdss,commissioning,1920
sdss,disk,10240
sdss,fstars,5120
sdss,hyades,640
sdss,legacy,1232640
sdss,lowz,5760
sdss,lowz_loveday,640
sdss,lowz_lrg,28160
sdss,m31_fstars,1920
sdss,msturnoff,5120
sdss,orion,5120
sdss,perseus,1280
sdss,photoz,12160
sdss,preboss,6400
sdss,premarvels_preselection,12800
sdss,reddening,5760
sdss,southern,85760
sdss,taurus,1920
segue1,segcluster,9600
segue1,segclusterf,5120
segue1,seglowlat,8960
segue1,seglowlatf,7040
segue1,segpointed,10240
segue1,segpointedf,10240
segue1,segtest,7040
segue1,segtestf,2560
segue1,segue,115200
segue1,seguefaint,106880
segue2,segcluster,1280
segue2,segue2,133760
