#object, dir
v2174 cyg,v2174cyg
V2174 Cyg,v2174cyg
v2174 cyg,v2174cyg
V2174 Cyg,v2174cyg
V2174 Cyg,v2174cyg
V2174 Cyg,v2174cyg
v2174 cyg,v2174cyg
V2174 cyg,v2174cyg
V2174 Cyg,v2174cyg
V2174 Cyg,v2174cyg
V2174 Cyg,v2174cyg
V2174 Cyg,v2174cyg
V2174 Cyg,v2174cyg
V2174 Cyg,v2174cyg
HD164353,67oph
HD164353,67oph
HD164353,67oph
HD164353,67oph
HD164353,67oph
HD 164353,67oph
HD164353,67oph
HD164353,67oph
HD164353,67oph
HD164353,67oph
HD164353,67oph
HD 164353,67oph
HD164353,67oph
HD164353,67oph
HD164353,67oph
HD164353,67oph
HD164353,67oph
HD 164353,67oph
HD164353,67oph
HD164353,67oph
HD164353,67oph
HD164353,67oph
HD164353,67oph
UX Mon,uxmon
UX Mon,uxmon
UX Mon,uxmon
UX Mon,uxmon
UX Mon,uxmon
UX Mon,uxmon
UX Mon,uxmon
UX Mon,uxmon
UX Mon,uxmon
UX Mon,uxmon
UX Mon,uxmon
gamma Cas,gamcas
gamma Cas,gamcas
Gam Cas,gamcas
gamma Cas,gamcas
gam Cas,gamcas
Gam Cas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
Gam Cas,gamcas
gamCas,gamcas
gamma Cas,gamcas
Gam Cas,gamcas
gama Cas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
Gam Cas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gam Cas,gamcas
GammaCas,gamcas
gamma Cas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gam Cas,gamcas
gamCas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gama Cas,gamcas
gamma Cas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gam Cas,gamcas
Gamma Cas,gamcas
Gam Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamCas,gamcas
gam Cas,gamcas
gama Cas,gamcas
gamCas,gamcas
gamma Cas,gamcas
gamCas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
Gam Cas,gamcas
gam Cas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
Gam Cas,gamcas
GamCas,gamcas
gam Cas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gama Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamCas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
Gam Cas,gamcas
gamma Cas,gamcas
Gam Cas,gamcas
gamCas,gamcas
Gam Cas,gamcas
gam Cas,gamcas
gama Cas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamCas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
Gam Cas,gamcas
gamma Cas,gamcas
Gam Cas,gamcas
gamma Cas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
Gam Cas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
gamCas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamCas,gamcas
gamCas,gamcas
gama Cas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gam cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gam Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamma Cas,gamcas
gamCas,gamcas
gamma Cas,gamcas
Gam Cas,gamcas
gamma Cas,gamcas
gam Cas,gamcas
V978 Cas,v978cas
V978 Cas,v978cas
V978 Cas,v978cas
V978 Cas,v978cas
11 Cam,11cam
11 Cam,11cam
11 Cam,11cam
48 Lib,48lib
NO Aur,noaur
ksiTau,2tau
ksi tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi tau,2tau
ksi Tau,2tau
2 Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
2 Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksiTau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi tau,2tau
ksi tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
Ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
ksi Tau,2tau
theta1 Ori D,the1oriD
V742 Cas,v742cas
V742 Cas,v742cas
V742 Cas,v742cas
V742 Cas,v742cas
V742 Cas,v742cas
v742 Cas,v742cas
V742 Cas,v742cas
V742 cas,v742cas
V742 Cas,v742cas
V742 Cas,v742cas
V742 Cas,v742cas
V742 Cas,v742cas
V742 Cas,v742cas
V742 Cas,v742cas
V742 Cas,v742cas
V742 Cas,v742cas
V742 Cas,v742cas
V742 Cas,v742cas
eps Cas,epscas
V1339 Aql,v1339aql
HD 61273,hd61273
HD 61723,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR Cmi,hd61273
BRCMi,hd61273
BR CMi,hd61273
HD 61273,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
HD 61273,hd61273
BR CMi,hd61273
BR CMi,hd61273
HD 61273,hd61273
HD 61273,hd61273
HD 61273,hd61273
BR CMi,hd61273
BR CMi,hd61273
HD 61273,hd61273
HD 61273,hd61273
BR CMi,hd61273
HD 61273,hd61273
HD 61273,hd61273
BR CMi,hd61273
BR CMi,hd61273
HD61273,hd61273
HD 61273,hd61273
HD 61273,hd61273
BR CMi,hd61273
BR CMi,hd61273
HD 61273,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
HD 61273,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
BR CMi,hd61273
HD 61273,hd61273
BR CMi,hd61273
BR CMi,hd61273
HD 61273,hd61273
BR CMi,hd61273
HD61273,hd61273
BR CMi,hd61273
HD 20899,hd20899
28 Tau,28tau
28 Tau,28tau
BU Tau,28tau
BU Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
BU Tau,28tau
BU Tau,28tau
28 Tau,28tau
BU Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
BU Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
BU Tau,28tau
28 Tau,28tau
BU Tau,28tau
28 Tau,28tau
BU Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
BU Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28Tau,28tau
28 Tau,28tau
BU Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
BU Tau,28tau
28 Tau,28tau
BU 28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
BU Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
BU Tau,28tau
Pleione,28tau
BU Tau,28tau
BU Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
BU Tau,28tau
28 Tau,28tau
BU Tau,28tau
28 Tau,28tau
28 Tau,28tau
BU Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
28 Tau,28tau
BU Tau,28tau
BU Tau,28tau
28 Tau,28tau
SN2011fe,sn2011fe
228 Eri,228eri
HD 21455,hd21455
Nova Cyg 2007,novacyg2007
Nova Cyg 2007,novacyg2007
V1507 Cyg,v1507cyg
V1507 Cyg,v1507cyg
V1507 Cyg,v1507cyg
V1507 Cyg,v1507cyg
V1507 Cyg,v1507cyg
V1507 Cyg,v1507cyg
V1507 Cyg,v1507cyg
V1507 Cyg,v1507cyg
V1507 Cyg,v1507cyg
V1507 Cyg,v1507cyg
HD 242926,hd242926
68 Cyg,68cyg
NGC6910 WEBDA 16,ngc6910w16
bet and,betand
HD 154689,hd154689
HD 20566,hd20566
HD 20566,hd20566
V1057 Cyg,v1057cyg
HIP17585,hd23005
HIP17585,hd23005
HD203374,hd203374
HD 203374,hd203374
HD 239601,hd239601
BE Cap,becap
BE Cap,becap
OP Her,opher
V2083Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083 Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083 Cyg,v2083cyg
V2083Cyg,v2083cyg
V2083 Cyg,v2083cyg
V2083 Cyg,v2083cyg
V2083Cyg,v2083cyg
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923Aql,v923aql
V923 Aql,v923aql
V 923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V 923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V 923 Aql,v923aql
V923 Aql,v923aql
V 923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
V923 Aql,v923aql
v923aql,v923aql
V923 Aql,v923aql
V 923 Aql,v923aql
tau Boo,tauboo
tauBoo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
TauBoo,tauboo
Tau Boo,tauboo
tauBoo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tauBoo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tauBoo,tauboo
tau Boo,tauboo
tau Boo,tauboo
Tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
tau Boo,tauboo
HD 20134,hd20134
IRAS 17449+2320,iras17449pl2320
IRAS 17449+2320,iras17449pl2320
IRAS 17449+2320,iras17449pl2320
BD+23 3183,iras17449pl2320
IRAS 17449+2320,iras17449pl2320
IRAS 17449+2320,iras17449pl2320
IRAS 17449+2320,iras17449pl2320
IRAS17449,iras17449pl2320
IRAS 17+23,iras17449pl2320
IRAS 17449+2320,iras17449pl2320
IRAS 17449+2320,iras17449pl2320
IRAS 17449+2320,iras17449pl2320
IRAS 17449+2320,iras17449pl2320
IRAS 17449+2320,iras17449pl2320
IRAS 17449+2320,iras17449pl2320
IRAS17449+2320,iras17449pl2320
IRAS 17449+2320,iras17449pl2320
HD 197434,hd197434
chi Psc,chipsc
25 Peg,25peg
25 Peg,25peg
HIP 3709,hip3709
SAO 49725,sao49725
SAO 49725,sao49725
SAO 49725,sao49725
SAO 49725,sao49725
SAO 49725,sao49725
SAO 49725,sao49725
SAO 49725,sao49725
SAO 49725,sao49725
SAO 49725,sao49725
SAO49725,sao49725
SAO 49725,sao49725
SAO 49725,sao49725
SAO 49725,sao49725
